player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1630696,Dru Smith,1610612751,BKN,25,6-3,75,203,Missouri,USA,Undrafted,Undrafted,Undrafted,12,42,19,16,-3,0.015,0.123,0.139,0.519,0.18
1630613,Duane Washington Jr.,1610612752,NYK,23,6-2,74,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,31,244,36,63,-0.5,0.004,0.085,0.298,0.458,0.26
1629130,Duncan Robinson,1610612748,MIA,28,6-7,79,215,Michigan,USA,Undrafted,Undrafted,Undrafted,39,238,62,40,-5.1,0.013,0.093,0.17,0.533,0.099
203939,Dwight Powell,1610612742,DAL,31,6-10,82,240,Stanford,Canada,2014,2,45,73,497,306,65,5.9,0.105,0.123,0.125,0.735,0.065
1629685,Dylan Windler,1610612739,CLE,26,6-7,79,196,Belmont,USA,2019,1,26,3,5,0,1,4.4,0,0,0.182,0.833,0.2
1630700,Dyson Daniels,1610612740,NOP,20,6-7,79,199,None,Australia,2022,1,8,56,215,178,129,1,0.034,0.136,0.112,0.495,0.168
1628410,Edmond Sumner,1610612751,BKN,27,6-4,76,196,Xavier,USA,2017,2,52,51,369,76,68,1.6,0.018,0.085,0.211,0.594,0.135
201569,Eric Gordon,1610612746,LAC,34,6-3,75,215,Indiana,USA,2008,1,7,66,836,129,178,-5.9,0.008,0.058,0.171,0.591,0.134
1630647,Eugene Omoruyi,1610612765,DET,26,6-6,78,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,37,242,103,23,0.4,0.068,0.109,0.185,0.536,0.059
203095,Evan Fournier,1610612752,NYK,30,6-6,78,205,None,France,2012,1,20,23,157,45,35,0.7,0.009,0.093,0.18,0.49,0.119
1630596,Evan Mobley,1610612739,CLE,21,6-11,83,215,Southern California,USA,2021,1,3,76,1243,683,216,6.2,0.072,0.2,0.199,0.595,0.122
1630267,Facundo Campazzo,1610612742,DAL,32,5-10,70,195,None,Argentina,Undrafted,Undrafted,Undrafted,8,10,2,9,11,0,0.041,0.144,0.36,0.3
1628402,Frank Jackson,1610612762,UTA,24,6-3,75,205,Duke,USA,2017,2,31,1,0,2,1,-22.2,0.125,0.333,0.25,0,0.25
1626163,Frank Kaminsky,1610612745,HOU,29,7-0,84,240,Wisconsin,USA,2015,1,9,34,80,45,28,-2.3,0.018,0.209,0.146,0.645,0.189
1628373,Frank Ntilikina,1610612742,DAL,24,6-4,76,200,None,France,2017,1,8,45,116,57,52,8,0.012,0.091,0.123,0.461,0.131
1630532,Franz Wagner,1610612753,ORL,21,6-10,82,220,Michigan,Germany,2021,1,8,76,1430,309,271,0.6,0.027,0.096,0.229,0.593,0.167
1627832,Fred VanVleet,1610612761,TOR,29,6-0,72,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,65,1280,270,456,3.1,0.011,0.112,0.227,0.543,0.271
