title,year,runtime,maturity_rating,genre,box_office,rating_imdb,metascore,awards
Dirty,2005,97,R,Thriller,0.3,5.5,37,0
Dirty Deeds,2005,87,PG-13,Comedy,0.1,5.7,28,0
Dominion,2005,117,R,Horror,0.3,5.2,55,0
Domino,2005,127,R,Biography,10.2,5.9,36,0
Don't Come Knocking,2005,122,R,Musical,0.4,6.6,55,0
Doom,2005,105,R,Horror,28.2,5.2,34,0
Down and Derby,2005,90,PG,Family,0.2,5.5,45,0
Down in the Valley,2005,108,R,Romance,0.6,6.4,65,0
Dreamer,2005,106,PG,Family,32.8,6.8,59,0
Duma,2005,100,PG,Family,0.9,7.2,82,0
Edmond,2005,82,R,Thriller,0.1,6.2,61,0
Elektra,2005,97,PG-13,Action,24.4,4.7,34,0
Elizabethtown,2005,123,PG-13,Comedy,26.9,6.3,45,0
End of the Spear,2005,108,PG-13,Biography,12,6.7,45,0
Everything Is Illuminated,2005,106,PG-13,Comedy,1.7,7.4,58,0
Factotum,2005,94,R,Comedy,0.8,6.5,71,0
Fantastic Four,2005,106,PG-13,Sci-Fi/Fantasy,154.7,5.7,40,0
Fateless,2005,140,R,Romance,0.2,7,87,0
Feast,2005,95,R,Horror,0.1,6.2,43,0
Fever Pitch,2005,104,PG-13,Comedy,42.1,6.2,56,0
Fierce People,2005,135,R,Thriller,0.1,6.4,54,0
Flightplan,2005,98,PG-13,Thriller,89.7,6.3,53,0
Forty Shades of Blue,2005,108,R,Musical,0.1,6.1,74,0
Four Brothers,2005,109,R,Action,74.5,6.8,49,0
Fun with Dick and Jane,2005,90,PG-13,Comedy,110.3,6.1,47,0
Game 6,2005,87,R,Comedy,0.1,5.8,56,0
Get Rich or Die Tryin',2005,117,R,Biography,31,5.4,45,0
Goal! The Dream Begins,2005,118,PG,Sport,4.3,6.7,53,0
"Good Night, and Good Luck.",2005,93,PG,Biography,31.6,7.4,80,0
Green Street Hooligans,2005,109,R,Sport,0.3,7.4,55,0
Guess Who,2005,105,PG-13,Comedy,68.9,5.9,49,0
Happy Endings,2005,128,R,Musical,1.3,6.3,57,0
Hard Candy,2005,104,R,Thriller,1,7,58,0
Harry Potter and the Goblet of Fire,2005,157,PG-13,Family,290.5,7.7,81,0
Harsh Times,2005,116,R,Action,3.3,6.8,56,0
Heights,2005,93,R,Romance,1.2,6.8,59,0
Herbie Fully Loaded,2005,101,G,Family,66,4.9,47,0
Hide and Seek,2005,101,R,Horror,51.1,5.9,35,0
Hitch,2005,118,PG-13,Comedy,179.5,6.6,58,0
Hoodwinked,2005,80,PG,Animation,51.4,6.5,45,0
Hostage,2005,113,R,Action,34.6,6.5,44,0
Hostel,2005,94,R,Horror,47.3,5.9,55,0
House of Wax,2005,113,R,Horror,32.1,5.4,41,0
Hustle & Flow,2005,116,R,Musical,22.2,7.3,68,1
Ice Princess,2005,98,G,Family,24.4,6,55,0
In Her Shoes,2005,130,PG-13,Comedy,32.9,6.5,60,0
In the Mix,2005,95,PG-13,Comedy,10.2,2.9,31,0
Into the Blue,2005,110,PG-13,Action,18.8,5.9,45,0
Jarhead,2005,125,R,Biography,62.7,7,58,0
Junebug,2005,106,R,Comedy,2.7,6.9,80,0
Just Friends,2005,96,PG-13,Comedy,32.6,6.2,47,0
Just Like Heaven,2005,95,PG-13,Sci-Fi/Fantasy,48.3,6.7,47,0
Keeping Mum,2005,99,R,Comedy,1.6,6.8,53,0
Kicking & Screaming,2005,95,PG,Family,52.8,5.6,45,0
Kids in America,2005,91,PG-13,Comedy,0.5,5.6,38,0
King Kong,2005,187,PG-13,Action,218.1,7.2,81,3
King's Ransom,2005,95,PG-13,Comedy,4,4.3,11,0
Kingdom of Heaven,2005,144,R,Action,47.4,7.2,63,0
Kinky Boots,2005,107,PG-13,Musical,1.8,7.1,57,0
Kiss Kiss Bang Bang,2005,103,R,Comedy,4.2,7.5,72,0
Land of the Dead,2005,93,R,Horror,20.7,6.2,71,0
Lassie,2005,100,PG,Comedy,0.7,6.7,84,0
Last Days,2005,97,R,Musical,0.5,5.7,67,0
Little Manhattan,2005,84,PG,Family,0.4,7.4,52,0
Loggerheads,2005,95,PG-13,Drama,0.1,7.2,62,0
Lonesome Jim,2005,95,R,Comedy,0.2,6.5,54,0
Looking for Comedy in the Muslim World,2005,98,PG-13,Comedy,0.9,5.5,53,0
Lord of War,2005,122,R,Drama,24.1,7.6,62,0
Lords of Dogtown,2005,107,PG-13,Biography,11.3,7.1,56,0
Madagascar,2005,86,PG,Animation,193.6,6.9,57,0
Man of the House,2005,100,PG-13,Comedy,19.7,5.4,35,0
Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,104,PG-13,Musical,0.3,6.5,40,0
Match Point,2005,124,R,Romance,23.2,7.6,72,0
Me and You and Everyone We Know,2005,91,R,Comedy,3.9,7.2,76,0
Memoirs of a Geisha,2005,145,PG-13,Romance,57.5,7.3,54,3
Mirrormask,2005,101,PG,Sci-Fi/Fantasy,0.9,6.7,55,0
Miss Congeniality 2: Armed & Fabulous,2005,115,PG-13,Comedy,48.5,5.1,34,0
Monster-in-Law,2005,101,PG-13,Comedy,82.9,5.5,31,0
Mr. & Mrs. Smith,2005,120,PG-13,Comedy,186.3,6.5,55,0
Mrs. Henderson Presents,2005,103,R,Musical,11,7,71,0
Munich,2005,164,R,Action,47.4,7.5,74,0
Must Love Dogs,2005,98,PG-13,Comedy,43.9,5.9,46,0
Mutual Appreciation,2005,109,R,Comedy,0.1,6.6,84,0
Nanny McPhee,2005,97,PG,Family,47.1,6.6,59,0
Nine Lives,2005,115,R,Drama,0.5,6.7,80,0
Nomad: The Warrior,2005,112,R,Drama,0.1,5.8,49,0
North Country,2005,126,R,Drama,18.3,7.3,68,0
Pretty Persuasion,2005,110,R,Comedy,0.3,6.5,45,0
Pride & Prejudice,2005,129,PG,Romance,38.4,7.8,82,0
Prime,2005,105,PG-13,Comedy,22.8,6.2,58,0
Proof,2005,100,PG-13,Mystery,7.5,6.7,64,0
Racing Stripes,2005,102,PG,Comedy,49.8,5.2,43,0
Rebound,2005,86,PG,Family,16.8,5.1,36,0
Red Doors,2005,90,R,Drama,0.1,6.5,60,0
Red Eye,2005,85,PG-13,Thriller,57.9,6.5,71,0
Rent,2005,135,PG-13,Musical,29.1,6.8,53,0
Robots,2005,91,PG,Animation,128.2,6.4,64,0
Roll Bounce,2005,112,PG-13,Musical,17.4,6.1,59,0
Romance & Cigarettes,2005,105,R,Musical,0.6,6.2,55,0
Rumor Has It...,2005,97,PG-13,Comedy,43,5.5,35,0
Sahara,2005,124,PG-13,Comedy,68.7,6,41,0
Saw II,2005,93,R,Horror,87,6.6,40,0
Self Medicated,2005,107,R,Biography,0.1,5.8,51,0
Serenity,2005,119,PG-13,Sci-Fi/Fantasy,25.5,7.8,74,0
Shadowboxer,2005,93,R,Action,0.4,5.5,33,0
Shopgirl,2005,106,R,Romance,10.3,6.3,62,0
Sin City,2005,124,R,Thriller,74.1,8,74,0
Sky High,2005,100,PG,Family,63.9,6.3,62,0
Slow Burn,2005,93,R,Thriller,1.2,5.7,34,0
Son of the Mask,2005,94,PG,Family,17,2.2,20,0
Star Wars: Episode III - Revenge of the Sith,2005,140,PG-13,Sci-Fi/Fantasy,380.3,7.6,68,0
State Property: Blood on the Streets,2005,94,R,Action,1.7,4.4,33,0
Stay,2005,99,R,Thriller,3.6,6.7,41,0
Stealth,2005,121,PG-13,Sci-Fi/Fantasy,32.1,5,35,0
Strangers with Candy,2005,97,R,Comedy,2.1,5.9,57,0
Supercross,2005,80,PG-13,Romance,3.1,4.3,26,0
Sweet Land,2005,110,PG,Romance,1.7,7.1,75,0
Syriana,2005,128,R,Thriller,50.8,6.9,76,1
Thank You for Smoking,2005,92,R,Comedy,24.8,7.5,71,0
The 40-Year-Old Virgin,2005,116,R,Comedy,109.4,7.1,73,0
The Amityville Horror,2005,90,R,Horror,65.2,5.9,33,0
The Ballad of Jack and Rose,2005,112,R,Drama,0.7,6.5,59,0
The Baxter,2005,91,PG-13,Comedy,0.2,6.5,51,0
The Brothers Grimm,2005,118,PG-13,Comedy,37.9,5.9,51,0
The Cave,2005,97,PG-13,Horror,15,5.1,30,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,PG,Family,291.7,6.9,75,1
The Chumscrubber,2005,108,R,Comedy,0.1,6.9,41,0
The Constant Gardener,2005,129,R,Romance,33.6,7.4,82,1
The Devil's Rejects,2005,107,R,Western,17,6.7,53,0
The Dukes of Hazzard,2005,104,PG-13,Comedy,80.3,5.1,33,0
The Dying Gaul,2005,92,R,Romance,0.3,6.4,62,0
The Exorcism of Emily Rose,2005,119,PG-13,Horror,75.1,6.7,46,0
The Family Stone,2005,103,PG-13,Comedy,60.1,6.3,56,0
The Fog,2005,100,PG-13,Horror,29.6,3.7,27,0
The Game of Their Lives,2005,101,PG,Sport,0.4,6.1,47,0
The Gospel,2005,105,PG,Family,15.8,5,46,0
The Great New Wonderful,2005,88,R,Comedy,0.2,5.6,57,0
The Great Raid,2005,132,R,Action,10.2,6.6,48,0
The Greatest Game Ever Played,2005,120,PG,Biography,15.3,7.4,55,0
The Hitchhiker's Guide to the Galaxy,2005,109,PG,Sci-Fi/Fantasy,51.1,6.7,63,0
The Honeymooners,2005,90,PG-13,Family,12.8,3.4,31,0
The Ice Harvest,2005,92,R,Comedy,9,6.2,62,0
The Interpreter,2005,128,PG-13,Thriller,72.7,6.4,62,0
The Island,2005,136,PG-13,Sci-Fi/Fantasy,35.8,6.8,50,0
The Jacket,2005,103,R,Sci-Fi/Fantasy,6.3,7.1,44,0
The Keeper: The Legend of Omar Khayyam,2005,95,PG,Family,0.2,6,43,0
The King,2005,105,R,Thriller,0.3,6.6,58,0
The Legend of Zorro,2005,129,PG,Romance,46.5,5.9,47,0
The Longest Yard,2005,113,PG-13,Comedy,158.1,6.4,48,0
The Lost City,2005,144,R,Romance,2.5,6.5,47,0
The Man,2005,83,PG-13,Comedy,8.3,5.5,33,0
The Matador,2005,96,R,Comedy,12.6,6.7,65,0
The Mostly Unfabulous Social Life of Ethan Green,2005,88,R,Comedy,0.2,6,38,0
The Nativity Story,2005,101,PG,Family,37.6,6.8,52,0
The New World,2005,135,PG-13,Biography,12.7,6.7,69,0
The Notorious Bettie Page,2005,91,R,Biography,1.4,6.5,64,0
The Pacifier,2005,95,PG,Comedy,113.1,5.6,30,0
The Perfect Man,2005,100,PG,Family,16.5,5.4,27,0
"The Prize Winner of Defiance, Ohio",2005,99,PG-13,Biography,0.6,7.2,58,0
The Producers,2005,134,PG-13,Musical,19.4,6.3,52,0
The Protector,2005,111,R,Action,12,7,52,0
The Puffy Chair,2005,85,R,Comedy,0.2,6.5,73,0
The Quiet,2005,96,R,Thriller,0.4,6.2,29,0
The Ring Two,2005,110,PG-13,Horror,76.2,5.4,44,0
The Ringer,2005,94,PG-13,Comedy,35.4,5.8,46,0
The Salon,2005,90,PG-13,Comedy,0.1,3.9,26,0
The Sisterhood of the Traveling Pants,2005,119,PG,Comedy,39.1,6.5,66,0
The Skeleton Key,2005,104,PG-13,Horror,47.9,6.5,47,0
The Squid and the Whale,2005,81,R,Comedy,7.4,7.3,82,0
The Thing About My Folks,2005,96,PG-13,Comedy,0.8,6.5,48,0
The Three Burials of Melquiades Estrada,2005,121,R,Drama,5,7.3,77,0
The Upside of Anger,2005,118,R,Comedy,18.8,6.8,63,0
The War Within,2005,90,R,Drama,0.1,6.8,61,0
The Weather Man,2005,102,R,Comedy,12.5,6.6,61,0
The Wedding Date,2005,90,PG-13,Comedy,31.7,6.1,32,0
The Wendell Baker Story,2005,99,PG-13,Comedy,0.1,5.5,44,0
The White Countess,2005,135,PG-13,Romance,1.7,6.5,60,0
The World's Fastest Indian,2005,127,PG-13,Biography,5.1,7.8,68,0
Thumbsucker,2005,96,R,Comedy,1.3,6.5,69,0
Transamerica,2005,103,R,Comedy,9,7.4,66,0
Transporter 2,2005,87,R,Action,43.1,6.3,56,0
Trust the Man,2005,103,R,Comedy,1.5,5.7,43,0
Two for the Money,2005,122,R,Sport,23,6.2,50,0
Underclassman,2005,95,PG-13,Comedy,5.7,4.3,19,0
Undiscovered,2005,97,PG-13,Musical,1.1,4.2,29,0
Unleashed,2005,103,R,Action,24.5,7,58,0
Venom,2005,87,R,Horror,0.9,4.6,25,0
Waiting...,2005,94,R,Comedy,16.1,6.7,30,0
Walk the Line,2005,136,PG-13,Biography,119.5,7.8,72,1
Wallace & Gromit: The Curse of the Were-Rabbit,2005,85,G,Animation,56.1,7.5,87,1
War of the Worlds,2005,116,PG-13,Sci-Fi/Fantasy,234.3,6.5,73,0
Wassup Rockers,2005,111,R,Comedy,0.2,5.9,56,0
Wedding Crashers,2005,119,R,Comedy,209.3,7,64,0
When Do We Eat?,2005,86,R,Comedy,0.4,5.8,37,0
White Noise,2005,101,PG-13,Horror,56.4,5.5,30,0
Winter Passing,2005,98,R,Comedy,0.1,6.2,56,0
xXx: State of the Union,2005,101,PG-13,Action,26.9,4.4,37,0
"Yours, Mine & Ours",2005,88,PG,Family,53.4,5.4,38,0
Zathura: A Space Adventure,2005,101,PG,Comedy,29.3,6.2,67,0
10 Items or Less,2006,82,R,Comedy,0.1,6.5,54,0
10th & Wolf,2006,107,R,Thriller,0.1,6.3,36,0
16 Blocks,2006,102,PG-13,Action,36.9,6.6,63,0
300,2006,117,R,Action,210.6,7.6,52,0
A Good Year,2006,117,PG-13,Comedy,7.5,6.9,47,0
A Guide to Recognizing Your Saints,2006,100,R,Drama,0.5,6.9,67,0
A Prairie Home Companion,2006,105,PG-13,Musical,20.3,6.7,75,0
A Scanner Darkly,2006,100,R,Animation,5.5,7,73,0
Accepted,2006,93,PG-13,Comedy,36.3,6.4,47,0
Akeelah and the Bee,2006,112,PG,Family,18.8,7.3,72,0
All the King's Men,2006,128,PG-13,Thriller,7.2,6.1,37,0
Alpha Dog,2006,122,R,Biography,15.3,6.9,53,0
Amazing Grace,2006,118,PG,Biography,21.3,7.4,65,0
American Dreamz,2006,107,PG-13,Musical,7.2,5.5,45,0
Annapolis,2006,108,PG-13,Sport,17.1,5.8,37,0
Apocalypto,2006,139,R,Action,50.9,7.8,68,0
Aquamarine,2006,110,PG,Family,18.6,5.3,51,0
Art School Confidential,2006,102,R,Comedy,3.3,6.3,54,0
Arthur and the Invisibles,2006,94,PG,Animation,15.1,6,39,0
Ask the Dust,2006,117,R,Romance,0.7,5.7,58,0
ATL,2006,105,PG-13,Comedy,21.2,6.1,63,0
Away from Her,2006,110,PG-13,Drama,4.6,7.5,88,0
Babel,2006,143,R,Drama,34.3,7.5,69,1
Barnyard,2006,90,PG,Animation,72.6,5.6,42,0
Basic Instinct 2,2006,114,R,Thriller,6,4.3,26,0
Beer League,2006,86,R,Comedy,0.5,5.9,40,0
Beerfest,2006,110,R,Comedy,19.2,6.2,46,0
Behind the Mask: The Rise of Leslie Vernon,2006,92,R,Horror,0.1,6.7,66,0
Bella,2006,91,PG-13,Romance,8.1,7.1,47,0
Big Momma's House 2,2006,99,PG-13,Comedy,70.2,4.7,34,0
Black Christmas,2006,95,R,Horror,16.3,4.6,22,0
Black Snake Moan,2006,116,R,Musical,9.4,6.9,52,0
Blood Diamond,2006,143,R,Thriller,57.4,8,64,0
Bobby,2006,117,R,Biography,11.2,7,54,0
Bonneville,2006,93,PG,Comedy,0.5,6.1,46,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84,R,Comedy,128.5,7.3,89,0
Breaking and Entering,2006,120,R,Romance,0.9,6.5,56,0
Broken Bridges,2006,105,PG-13,Musical,0.3,5.8,32,0
Bug,2006,102,R,Horror,7,6.1,62,0
Cars,2006,117,G,Animation,244.1,7.2,73,0
Casino Royale,2006,144,PG-13,Action,167.4,8,80,0
Catch a Fire,2006,101,PG-13,Biography,4.3,6.7,62,0
Catch and Release,2006,124,PG-13,Comedy,15.5,5.9,43,0
Chalk,2006,85,PG-13,Comedy,0.3,6.1,70,0
Charlotte's Web,2006,97,G,Family,83,6.3,68,0
Children of Men,2006,109,R,Sci-Fi/Fantasy,35.6,7.9,84,0
Civic Duty,2006,98,R,Thriller,0.1,6.2,48,0
Clerks II,2006,97,R,Comedy,24.1,7.3,65,0
Click,2006,107,PG-13,Sci-Fi/Fantasy,137.4,6.4,45,0
Come Early Morning,2006,97,R,Romance,0.1,6.2,64,0
Conversations with God,2006,109,PG,Drama,0.4,6.5,35,0
Copying Beethoven,2006,104,PG-13,Biography,0.4,6.7,59,0
Crank,2006,88,R,Action,27.8,6.9,57,0
Crossover,2006,95,PG-13,Sport,7,2.1,30,0
Curious George,2006,87,G,Animation,58.4,6.5,62,0
Date Movie,2006,83,PG-13,Comedy,48.5,2.8,11,0
Deck the Halls,2006,93,PG,Family,35.1,5,28,0
Deja Vu,2006,126,PG-13,Sci-Fi/Fantasy,64,7.1,59,0
Diggers,2006,96,R,Comedy,0.1,6.3,66,0
DOA: Dead or Alive,2006,87,PG-13,Action,0.5,4.8,38,0
Dougal: American Edition,2006,85,G,Animation,7.4,2.8,23,0
Dreamgirls,2006,130,PG-13,Musical,103.4,6.5,76,2
Eight Below,2006,120,PG,Family,81.6,7.3,64,0
El cantante,2006,106,R,Biography,7.6,5.4,46,0
Employee of the Month,2006,103,PG-13,Comedy,28.4,5.5,36,0
Eragon,2006,104,PG,Family,75,5.1,38,0
Even Money,2006,113,R,Drama,0.1,5.8,34,0
Everyone's Hero,2006,87,G,Animation,14.5,5.7,51,0
Eye of the Dolphin,2006,102,PG-13,Family,0.1,5.5,54,0
Facing the Giants,2006,111,PG,Sci-Fi/Fantasy,10.2,6.4,38,0
Factory Girl,2006,100,R,Biography,1.7,6.3,45,0
Failure to Launch,2006,97,PG-13,Comedy,88.7,5.6,47,0
Fast Food Nation,2006,116,R,Comedy,1,6.3,64,0
Fay Grim,2006,118,R,Comedy,0.1,6.1,52,0
Fearless,2006,104,PG-13,Biography,24.6,7.6,70,0
Final Destination 3,2006,93,R,Horror,54.1,5.8,41,0
Find Me Guilty,2006,125,R,Biography,1.2,7,65,0
Firewall,2006,105,PG-13,Action,48.8,5.8,45,0
First Snow,2006,101,R,Thriller,0.2,6.2,58,0
Flags of Our Fathers,2006,135,R,Action,33.6,7.1,79,0
Flannel Pajamas,2006,124,R,Romance,0.1,5.9,49,0
Flicka,2006,95,PG,Family,21,6,57,0
Flushed Away,2006,85,PG,Animation,64.7,6.6,74,0
Flyboys,2006,140,PG-13,Action,13.1,6.5,47,0
For Your Consideration,2006,86,PG-13,Comedy,5.5,6.3,68,0
Freedomland,2006,113,R,Mystery,12.5,5.1,43,0
Friends with Money,2006,88,R,Comedy,13.4,5.8,68,0
Fur: An Imaginary Portrait of Diane Arbus,2006,122,R,Biography,0.2,6.3,50,0
Garfield: A Tail of Two Kitties,2006,82,PG,Animation,28.4,5,37,0
Glory Road,2006,118,PG,Biography,42.6,7.2,58,0
Goya's Ghosts,2006,113,R,Biography,1,6.9,52,0
Grandma's Boy,2006,94,R,Comedy,6.1,6.9,33,0
Gray Matters,2006,96,PG-13,Comedy,0.1,5.7,31,0
Gridiron Gang,2006,125,PG-13,Biography,38.4,7,52,0
Half Nelson,2006,106,R,Drama,2.7,7.1,85,0
Happy Feet,2006,108,PG,Animation,198,6.4,77,1
Hatchet,2006,93,R,Horror,0.2,5.6,57,0
Holly,2006,114,R,Drama,0.2,6.7,51,0
Hollywoodland,2006,126,R,Biography,14.4,6.5,62,0
Home of the Brave,2006,106,R,Action,0.1,5.6,42,0
Hoot,2006,95,PG,Family,8.1,5.5,46,0
How to Eat Fried Worms,2006,80,PG,Family,13,5.3,56,0
Ice Age: The Meltdown,2006,91,PG,Animation,195.3,6.8,60,0
Idiocracy,2006,84,R,Sci-Fi/Fantasy,0.4,6.5,66,0
Idlewild,2006,121,R,Musical,12.6,6.1,55,0
Infamous,2006,110,R,Biography,1.2,7,68,0
Inland Empire,2006,180,R,Sci-Fi/Fantasy,1,6.8,73,0
Inside Man,2006,129,R,Mystery,88.5,7.6,76,0
Invincible,2006,105,PG,Biography,57.8,7,63,0
Ira & Abby,2006,104,R,Comedy,0.2,6.4,62,0
John Tucker Must Die,2006,89,PG-13,Comedy,41,5.7,41,0
Journey from the Fall,2006,135,R,Drama,0.6,7.1,70,0
Just My Luck,2006,108,PG-13,Sci-Fi/Fantasy,17.3,5.4,29,0
Keeping Up with the Steins,2006,90,PG-13,Comedy,4.3,5.3,57,0
Lady in the Water,2006,110,PG-13,Sci-Fi/Fantasy,42.3,5.5,36,0
Larry the Cable Guy: Health Inspector,2006,89,PG-13,Comedy,15.7,3.5,21,0
Last Holiday,2006,112,PG-13,Comedy,38.4,6.5,52,0
Let's Go to Prison,2006,84,R,Comedy,4.6,5.9,27,0
Letters from Iwo Jima,2006,141,R,Action,13.8,7.9,89,1
Little Children,2006,137,R,Romance,5.5,7.5,75,0
Little Man,2006,98,PG-13,Comedy,58.6,4.4,26,0
Little Miss Sunshine,2006,101,R,Comedy,59.9,7.8,80,2
Lonely Hearts,2006,108,R,Biography,0.2,6.4,60,0
Lucky Number Slevin,2006,110,R,Thriller,22.5,7.7,53,0
Madea's Family Reunion,2006,107,PG-13,Comedy,63.3,5.1,45,0
Man of the Year,2006,115,PG-13,Comedy,37.3,6.2,39,0
Marie Antoinette,2006,123,PG-13,Biography,16,6.5,65,1
Material Girls,2006,98,PG,Family,11.4,3.9,17,0
Miami Vice,2006,132,R,Action,63.5,6,66,0
Miss Potter,2006,88,PG,Biography,3,7,57,0
Mission: Impossible III,2006,126,PG-13,Action,134,6.9,66,0
Monster House,2006,91,PG,Animation,73.7,6.6,68,0
My Super Ex-Girlfriend,2006,96,PG-13,Sci-Fi/Fantasy,22.5,5.2,50,0
Nacho Libre,2006,92,PG,Family,80.2,5.8,52,0
Night at the Museum,2006,108,PG,Family,250.9,6.4,48,0
Night of the Living Dead 3D,2006,80,R,Horror,0.3,3.1,32,0
Nightmare Man,2006,89,R,Horror,0.1,4,46,0
O Jerusalem,2006,100,R,Drama,0.2,6,39,0
One Night with the King,2006,123,PG,Biography,13.4,6,38,0
Open Season,2006,86,PG,Animation,85.1,6.1,49,0
Outsourced,2006,103,PG-13,Comedy,0.2,7,70,0
Over the Hedge,2006,83,PG,Animation,155,6.7,67,0
"Paris, je t'aime",2006,120,R,Comedy,4.9,7.2,66,0
Peaceful Warrior,2006,120,PG-13,Sport,4,7.2,40,0
Penelope,2006,104,PG,Sci-Fi/Fantasy,10,6.7,48,0
Perfume: The Story of a Murderer,2006,147,R,Sci-Fi/Fantasy,2.2,7.5,56,0
Phat Girlz,2006,99,PG-13,Comedy,7.1,3.2,36,0
Pirates of the Caribbean: Dead Man's Chest,2006,151,PG-13,Sci-Fi/Fantasy,423.3,7.3,53,1
Poseidon,2006,98,PG-13,Action,60.7,5.7,50,0
Pulse,2006,90,PG-13,Horror,20.3,4.7,27,0
Quinceañera,2006,90,R,Drama,1.7,6.9,72,0
Renaissance,2006,105,R,Animation,0.1,6.6,57,0
Rescue Dawn,2006,120,PG-13,Biography,5.5,7.3,77,0
Right at Your Door,2006,96,R,Sci-Fi/Fantasy,0.1,6.1,57,0
Rocky Balboa,2006,102,PG,Sport,70.3,7.1,63,0
Running Scared,2006,122,R,Action,6.9,7.3,41,0
Running with Scissors,2006,116,R,Comedy,7,6.1,52,0
RV,2006,99,PG,Family,71.7,5.5,33,0
Saw III,2006,108,R,Horror,80.2,6.2,48,0
Scary Movie 4,2006,83,PG-13,Comedy,90.7,5.1,40,0
School for Scoundrels,2006,100,PG-13,Comedy,17.8,5.9,44,0
Scoop,2006,96,PG-13,Sci-Fi/Fantasy,10.5,6.6,48,0
See No Evil,2006,84,R,Horror,15,5,17,0
Seraphim Falls,2006,115,R,Action,0.4,6.6,62,0
She's the Man,2006,105,PG-13,Comedy,33.7,6.3,45,0
Sherrybaby,2006,96,R,Drama,0.2,6.6,66,0
Skinwalkers,2006,110,R,Horror,1,4.5,33,0
Slither,2006,95,R,Horror,7.8,6.5,69,0
Smokin' Aces,2006,109,R,Comedy,35.8,6.6,45,0
Snakes on a Plane,2006,105,R,Action,34,5.5,58,0
Something New,2006,99,PG-13,Comedy,11.5,6.6,64,0
Southland Tales,2006,145,R,Comedy,0.3,5.3,44,0
Starter for 10,2006,92,PG-13,Comedy,0.2,6.7,69,0
Stay Alive,2006,85,PG-13,Horror,23.1,5,24,0
Step Up,2006,104,PG-13,Musical,65.3,6.5,48,0
Stick It,2006,103,PG-13,Comedy,26.9,6.3,53,0
Stormbreaker,2006,93,PG,Family,0.7,5.1,42,0
Stranger Than Fiction,2006,113,PG-13,Sci-Fi/Fantasy,40.7,7.6,67,0
Superman Returns,2006,154,PG-13,Sci-Fi/Fantasy,200.1,6.1,72,0
Take the Lead,2006,118,PG-13,Musical,34.7,6.6,55,0
Talladega Nights: The Ballad of Ricky Bobby,2006,108,PG-13,Comedy,148.2,6.6,66,0
Tenacious D in the Pick of Destiny,2006,94,R,Musical,8.3,6.8,55,0
The Ant Bully,2006,88,PG,Animation,28.1,5.8,59,0
The Astronaut Farmer,2006,104,PG,Sci-Fi/Fantasy,11,6.3,55,0
The Benchwarmers,2006,85,PG-13,Comedy,59.8,5.5,25,0
The Black Dahlia,2006,121,R,Mystery,22.5,5.6,49,0
The Break-Up,2006,106,PG-13,Comedy,118.7,5.8,45,0
The Celestine Prophecy,2006,99,PG,Drama,0.6,4.8,23,0
The Covenant,2006,97,PG-13,Sci-Fi/Fantasy,23.4,5.1,19,0
The Da Vinci Code,2006,149,PG-13,Thriller,217.5,6.6,46,0
The Departed,2006,151,R,Thriller,132.4,8.5,85,4
The Devil Wears Prada,2006,109,PG-13,Comedy,124.7,6.9,62,0
The Ex,2006,99,PG-13,Comedy,3.1,5.5,32,0
The Fall,2006,117,R,Sci-Fi/Fantasy,2.3,7.8,64,0
The Fast and the Furious: Tokyo Drift,2006,104,PG-13,Action,62.5,6,45,0
The Foot Fist Way,2006,85,R,Comedy,0.2,6.2,63,0
The Fountain,2006,97,PG-13,Romance,10.1,7.2,51,0
The Good German,2006,105,R,Romance,1.3,6,49,0
The Good Shepherd,2006,167,R,Thriller,60,6.7,61,0
The Groomsmen,2006,98,R,Musical,0.1,6.1,57,0
The Grudge 2,2006,102,PG-13,Horror,39.1,5,33,0
The Guardian,2006,139,PG-13,Action,55,6.9,53,0
The Hills Have Eyes,2006,107,R,Horror,41.8,6.4,52,0
The Hoax,2006,116,R,Biography,7.2,6.7,70,0
The Holiday,2006,136,PG-13,Comedy,63.2,6.9,52,0
The Illusionist,2006,110,PG-13,Sci-Fi/Fantasy,39.9,7.6,68,0
The Lake House,2006,99,PG,Sci-Fi/Fantasy,52.3,6.8,52,0
The Last Kiss,2006,115,R,Comedy,11.6,6.4,57,0
The Marine,2006,92,PG-13,Comedy,18.8,4.7,45,0
The Namesake,2006,122,PG-13,Drama,13.6,7.5,82,0
The Night Listener,2006,91,R,Horror,7.8,5.9,51,0
The Oh in Ohio,2006,88,R,Comedy,0.4,5.5,48,0
The Omen,2006,110,R,Horror,54.6,5.5,43,0
The Painted Veil,2006,125,PG-13,Romance,8.1,7.4,69,0
The Pink Panther,2006,93,PG,Comedy,82.2,5.6,38,0
The Prestige,2006,130,PG-13,Sci-Fi/Fantasy,53.1,8.5,66,0
The Pursuit of Happyness,2006,117,PG-13,Biography,163.6,8,64,0
The Queen,2006,103,PG-13,Biography,56.4,7.3,91,1
The Return,2006,85,PG-13,Horror,7.7,4.6,38,0
The Santa Clause 3: The Escape Clause,2006,97,G,Family,84.5,4.7,32,0
The Second Chance,2006,102,PG-13,Drama,0.5,6.4,52,0
The Sentinel,2006,108,PG-13,Action,36.3,6.1,49,0
